飾る,kazaru,Decorate,Rouge,,,
誇り,hokori,Pride,Rouge,,,
購入,konyu,Purchase,Rouge,,,
連れて行く,Tsureteiku,Take,Rouge,,,
詳細,Shōsai,Details,Rouge,,,
親戚,しんせき,relative,Vert,,,
詳しいこと,,Details,Vert,,,
中止,chûshi,Cancel,Vert,,,
独立記念,dokuritsukinen,Independence celebration,Vert,,,
助言,jogen,Advice,Vert,x,,
指示,shiji,Instructions,Vert,x,,
交流,こうりゅう,To interact/ current,Vert,,,
変更,へんこう,Change,Vert,,,
中身,Nakami,Content,Vert,,,
made ato + durée,,durée jusque,Vert,,,
流れる,Nagareru,To flow,Vert,,,
小麦,Komugi,Wheat,Vert,,,
登録,とうろく,Registrate,Vert,,,
日課,nikkada,Daily Routine,Vert,x,,
違反,Ihan,Law Violation,Vert,,,
方針,Hôshin,Policy,Vert,,,
報告,hôkoku,Report,Vert,,,
現在,げんざい,Present,Vert,x,,
方向,Hôkô,Direction,Vert,x,,
出席し,しゅっせきし,To attend,Vert,,,
時間どおりに,じかんどおりに,On time,Vert,,,
ほとんど全部,,Almost every,Vert,,,
未払い,mibarai,not payed,Vert,,,
戦略,senryaku,Strategy,Vert,,,
片付ける,katazukeru,Tidy up,Vert,x,,
諦める,あきらめる,To give up,Vert,,,
明らか,あきらか,Obvious,Vert,,,
中間,,Halfway,Vert,,,
遅刻する,chikokusuru,Be late,Vert,x,,
verb + iku,,continue,Vert,x,,
つもり,,to intend,Vert,x,,
通信,つうしん,Communication,Vert,x,,
盛かん,さかん,Prosperous,Vert,,,
就職,shûshoku,Employment,Vert,x,,
背が伸びる,seganobiru,Grow tall,Vert,x,,
洞窟,どうくつ,Cave,Vert,,,
無職,Mushoku,Unemployed,Vert,,,
内容,naiyou,Content,Vert,x,,
宿題,shukudai,Homework,Vert,x,,
血液,ketsueki,blood,Vert,,,
責任,せきにん,Responsibility,Vert,,,
満足する,まんぞくする,to be satisfied,Vert,,,
予測,よそく,Prediction,Vert,,,
灯台,toudai,Lighthouse,Vert,,,
しつけ,,Discipline,Vert,,,
ville+在住,ville+zaijuu,City resident,Vert,,,
窓,mado,Window,Vert,,,
注意,chûi,Attention / Caution,Vert,,,
住所,Jûsho,Adress,Vert,,,
当初,toshô,At first,Vert,,,
無理やり,むりやり,Forcebly,Vert,,,
支援,しえん,Support,Vert,,,
持ち込み,mochikomi,bring in,Vert,,,
無理,Muri,Impossible,Vert,,,
傷つける,きずつける,To Hurt,Vert,,,
訳す,Yakusu,Translate (parlé),Vert,,,
分析,bunseki,Analysis,Vert,,,
発展,hatten,Development,Vert,,,
引き換えに,ひきかえに,In exchange,Vert,,,
活動,katsudô,Activity,Vert,,,
うらやましい!,,I'm jealous,Vert,,,
景気/ 経済,keiki/ keizai,Economy,Vert,,,
残業時間,ざんぎょうじかん,HeuresSupp,Vert,,,
段ボール,だんボール,Carton,Vert,,,
意外,igai,Unexpected,Vert,,,
基本,きほん,Basic,Vert,,,
努力,どりょく,effort,Vert,,,
遺伝子,いでんし,Gene,Vert,,,
雇う,やとう,Hire,Vert,,,
感想,かんそう,Impression,Vert,,,
それはしょうがない,,It can't be helped,Vert,,,
残りました,のこりました,Left,Vert,,,
悩んでいた,なやんで,Troubled,Vert,,,
認めて,mitomete,Admit/Acknowledge,Vert,,,
下がる,さがる,Go down ( temperature),Vert,,,
煙,けむり,Smoke,Vert,,,
消える,kieru,"Vanish, extinct",Vert,,,
参加,sanka,Participate,Vert,,,
金属,きんぞく,Metal,Vert,,,
年齢,ねんれい,Age,Vert,,,
神経,しんけい,Nerve,Vert,,,
望みます,nozomimasu,To hope,Vert,,,
研究室,けんきゅうしつ,Lab,Vert,,,
歴史,rekishi,history,Vert,,,
能力,nouryoku,Ability,Vert,,,
つなげた,,Connected,Vert,,,
感心,かんしん,Admire,Vert,,,
ハゲ,,Bald,Vert,,,
怖がる,Kowagaru,Be scared,Vert,,,
あごひげ,,Beard,Vert,,,
目標,もくひょう,Goal,Vert,,,
毛深い,Kebukai,Hairy,Vert,,,
渡す,わたす,Hand Over,Vert,,,
不正,ふせい,Illegal,Vert,,,
工業,こうぎょう,Industrial,Vert,,,
その代わり,そのかわり,Instead,Vert,,,
調査,ちょうさ,Investigate,Vert,,,
途中,とちゅう,On the way,Vert,,,
しかえし,,Repay vengeance,Vert,,,
取り替える,とりかえる,Replace,Vert,,,
了解,りょうかい,Roger that,Vert,,,
歌手,Kashu,Singer,Vert,,,
様子,Yousu,Situation/Etat,Vert,,,
投げます,なげます,Throw,Vert,,,
飽きた,あきた,Tired,Vert,,,
空いてます,Aitemasu,To be free,Vert,,,
確認する,かくにんする,To check/ Confirm,Vert,,,
透明な,とうめいな,Transparent,Vert,,,
裁判,さいばん,Trial,Vert,,,
電波,でんぱ,Wave,Vert,,,
辺り,atari / hen(kanji),Zone/Region,Vert,,,
訴える,うったえる,Accuse,Vert,,,
俳優,はいゆう,Actor,Vert,,,
賛成,さんせい,Agree,Vert,,,
祖先,そせん,Ancestor,Vert,,,
申し訳,もうしわけ,Apologize,Vert,,,
拍手,はくしゅ,Applause,Vert,,,
申し込む,もうしこむ,Apply,Vert,,,
逮捕されて,たいほされて,Arrested,Vert,,,
暴行,ぼうこう,Assault,Vert,,,
平均,へいきん,Average,Vert,,,
裏,うら,Back,Vert,,,
悪臭,Akushuu,Bad smell,Vert,,,
電池,でんち,Battery,Vert,,,
責められる,Semerareru,Be blamed,Vert,,,
緊張して,きんちょうして,Be nervous,Vert,,,
美しい,Utsukushii,Beautiful,Vert,,,
弾,たま,Bullet,Vert,,,
首都,しゅと,Capital,Vert,,,
運ぶ,はこぶ,Carry,Vert,,,
捕まえる,つかまえる,Catch,Vert,,,
世紀,せいき,Century,Vert,,,
充電,じゅうでん,Charge,Vert,,,
市民,しみん,Citizen,Vert,,,
同僚,どうりょう,Colleague,Vert,,,
競争,きょうそう,Competition,Vert,,,
自信,Jishin,Confidence,Vert,,,
田舎の町,いなかのまち,Country town,Vert,,,
叱った,しかった,Cried,Vert,,,
罪,つみ,Crime,Vert,,,
犯罪,はんざい,Criminal,Vert,,,
踊り,おどり,Dance,Vert,,,
届ける,とどける,Delivery,Vert,,,
民主的,みんしゅてき,Democratic,Vert,,,
展示,てんじ,Display,Vert,,,
離れた,はなれた,Distant,Vert,,,
配ばる,くばる,Distribute,Vert,,,
邪魔,Jama,Disturbed/mess,Vert,,,
覚醒剤,かくせいざい,Drugs,Vert,,,
お互い,Otagai,Each Other,Vert,,,
感情,かんじょう,Emotion,Vert,,,
環境,かんきょう,Environment,Vert,,,
避難,ひなん,Evacuate,Vert,,,
経験,けいけん,Experience,Vert,,,
工場,こうじょう,Factory,Vert,,,
失敗した,しっぱいした,Failed,Vert,,,
公平,こうへい,Fair,Vert,,,
運命,unmei,Fate,Vert,,,
決勝,けっしょう,Finale,Vert,,,
床,ゆか,Floor,Vert,,,
予報,よほう,Forecast,Vert,,,
表,おもて,Front,Vert,,,
凍った,こおった,Frozen,Vert,,,
果汁,かじゅう,Fruit Juice,Vert,,,
葬式,そうしき,Funeral,Vert,,,
銀河,ぎんが,Galaxy,Vert,,,
卒業,そつぎょう,Graduate,Vert,,,
感謝,かんしゃ,Gratitude,Vert,,,
無料,Muryo,Gratuit,Vert,,,
案内,あんない,Guide,Vert,,,
銃,じゅう,Gun,Vert,,,
硬い,かたい,Hard,Vert,,,
一生懸命,いっしょうけんめい,Hardwork,Vert,,,
主人公,しゅじんこう,Hero,Vert,,,
隠し,かくし,Hide,Vert,,,
高速道路,こうそくどうろ,Highway,Vert,,,
希望,きぼう,Hope,Vert,,,
衛生,えいせい,Hygiene,Vert,,,
負けたくない,まけたくない,I don't wanna lose,Vert,,,
願っています,Negaっています,I hope,Vert,,,
想像,そうぞう,Imagination,Vert,,,
出来事,dekikoto,Incident,Vert,,,
面接,めんせつ,Interview,Vert,,,
招待,しょうたい,Invite,Vert,,,
冗談,Jōdan,Joke,Vert,,,
暇潰し,ひまつぶし,Killtime,Vert,,,
包丁,ほうちょう,Knife,Vert,,,
打ち上げて,うちあげて,Launch,Vert,,,
人生,じんせい,Life,Vert,,,
verb + そう,,Likely to verb,Vert,,,
場所,Basho,Location,Vert,,,
材料,ざいりょう,Material/Ingredient,Vert,,,
記憶,きおく,Memory,Vert,,,
mou + number,,More numbers,Vert,,,
筋肉,Kin'niku,Muscle,Vert,,,
裸,はだか,Naked,Vert,,,
昼寝,ひるね,Nap,Vert,,,
自然,しぜん,Nature,Vert,,,
mou + negative,,Not anymore,Vert,,,
油,あぶら,Oil/Water,Vert,,,
命令,めいれい,Orders,Vert,,,
海外,かいがい,Overseas,Vert,,,
酸素,さんそ,Oxygen,Vert,,,
駐車場,ちゅうしゃじょ,Parking,Vert,,,
相手,あいて,Partner,Vert,,,
安心,あんしん,Peace of mind,Vert,,,
許可,きょか,Permission,Vert,,,
海賊,かいぞく,Pirate,Vert,,,
広場,ひろば,Square/ Place,Vert,,,
用意する,よういする,Prepare,Vert,,,
民間,みんかん,Private,Vert,,,
生産,せいさん,Production,Vert,,,
約束,yakusoku,Promise,Vert,,,
抗議,こうぎ,Protest,Vert,,,
罰,ばつ,Punishment,Vert,,,
実,じつ,Réel,Vert,,,
公開,こうかい,Release public,Vert,,,
宗教,しゅうきょう,Religion,Vert,,,
返信,へんしん,Reply,Vert,,,
予約し,よやくし,Reserve,Vert,,,
強盗,ごうとう,Robber,Vert,,,
救い,すくい,Save,Vert,,,
季節,きせつ,Season,Vert,,,
警備,けいび,Security,Vert,,,
文,ぶん,Sentence,Vert,,,
真剣,しんけん,Serious,Vert,,,
何度も,,Several Times,Vert,,,
性的,せいてき,Sexual,Vert,,,
恥ずかし,はずかし,Shame,Vert,,,
照れて,てれて,Shine/embarassed,Vert,,,
撃ちます,うちます,Shoot,Vert,,,
撮影,Satsuei,Shooting/ Tournage,Vert,,,
側,がわ,Side,Vert,,,
署名,しょめい,Signature,Vert,,,
似いて,にいて,Similar,Vert,,,
兵士,へいし,Soldier,Vert,,,
解決,かいけつ,Solution,Vert,,,
曲,きょく,Song,Vert,,,
探査機,たんさき,Spacecraft,Vert,,,
名物,Meibutsu,Specialty,Vert,,,
時速,jisoku,Speed,Vert,,,
ひろって,,Split,Vert,,,
刺し,さし,Stab,Vert,,,
泊まる,とまる,Stay,Vert,,,
踏んでし,ふんでし,Step on,Vert,,,
変に,へんに,Strangely,Vert,,,
成功,せいこう,Success,Vert,,,
頂上,ちょうじょう,Summit,Vert,,,
超,ちょう,Super,Vert,,,
驚いて,おどろいて,Surprised,Vert,,,
労働組合,ろうどうくみあい,Syndicate,Vert,,,
制度,せいど,System,Vert,,,
休憩する,kyuukeisuru,Take a break,Vert,,,
例にする,れいにする,Take an example,Vert,,,
大事にする,だいじにする,Take care,Vert,,,
温度,Ondo,Temperature,Vert,,,
忘れる,Wasureru,To forget,Vert,,,
合格,ごうかく,To pass an exam,Vert,,,
披露する,ひろうする,To show,Vert,,,
履く,はく,To wear shoes,Vert,,,
道具,どうぐ,Tool,Vert,,,
変身,へんしん,Transform,Vert,,,
翻訳,ほんやく,Translate (écrit),Vert,,,
宝,たから,Treasure,Vert,,,
三角,さんかく,Triangle,Vert,,,
普段,ふだん,Usually,Vert,,,
動画,どうが,Video,Vert,,,
暴力的,bouryokuteki,Violent,Vert,,,
投票しました,とうひょうしました,Voted,Vert,,,
壁,かべ,Wall,Vert,,,
第２次世界大戦,だい２じせかいたいせん,WWII,Vert,,,
teineina,,polite,Rouge,,,
shoushiki,,honest,Rouge,,,
gutaitekina,,specific,Rouge,,,
信頼,Shinrai,Trust,Rouge,,,
出演し,Shutsuenshi,Appear on Movies,,,,
まちの中心,まちのちゅうしん,city center
都心,とうしん,tokyo center
各階,かくかい,each floor
に詳しい,にくわしい,well acquainted
苦手,にがて,hate something
得意,とくい,love something
投稿,とうこう,　post
瞬く間に,またたくまに, en un clin d'oeil
拡散,　かくさん,　diffusé
寄せて,　よせて, came
尻込み,　しりごみ, reculer face au danger
微力,　びりょく,　petite force
お力を貸し,おちからをかし,　aider
研修,けんしゅ,internship
祝日,しゅくじつ,holiday
を入れる,いれます,enter
に入れる,はいれます,enter
少しずつ,,little by little
病気にかかります,,sick during
それが理由で,,for that reason
どれが一番いいですか,,which is better
うずくまっていた,,in distress
てくれます,,action with care
症状,しょうじょう,symptoms
対処法,たいしょほう,approach
障害者,しょうがいしゃ,handicapé
対象,taishou,target
課題,kadai,subject/theme
累計,ruikei,total
患者,kanja,patient
治療,ちりょう,Treatment
運営,un'ei,management/administration
周囲,shuui,surroundings
通っている,totteiru,passing through
十日で/十日以内に,,Dans 10 jours
あと十日で,,Dans 10 jours
V+takunai,,don't want
従う,shitagau,follow
駐車します,chushashimasu,garer
沿って,sotte,along
件,けん,counter for building/shops
外見,がいけん,appearance
見た目,,appearance
役に立つ,やくにたつ,useful
よくしたい,,get better
試着して,,essayer
返品,へんぴん,Return
交換,こうかん,Exchange
こぎって,,Check
しか,,only
きょうゆすれ,,
破損,,Waste/Spoil
破断,,Break
妊娠,にんしん,Pregnant
出産,しゅっさん,Birth
新年,しんねん,New Year
お祝い,おいわい,Celebrate
各駅,かくえき,each station(train)
要,かなめ,Need
たずさわる
指標,しひょう,index
数値,すうち,number
過去,かこ,past
管理,かんり,management
とにかく,,anyways
おい,,nephew
めい,,niece
小説,しょうせつ,novel
あるみたい,,seems to be
成長しました,せいちょうしました,grow up
ほめます,,praise
謙虚,けんきょ,humility
主婦,しゅふ,housewife
反応,hannou,reaction/response
生じます,shouji,occur(reaction)
後悔する,こうかいする,regret
野望,やぼう,ambition
報復,ほうふく,revenge
法律,ほうりつ,law
典型的,てんけいてき,typical
